model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	15274.09763	178	85.80953727
resnet50	25	8	15182.71924	498	30.48738802
vgg19	10	1	15356.09261	500	30.71218521
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	15689.78602	176	89.14651147
resnet50	25	16	15596.92691	313	49.83043741
vgg19	10	1	15788.52997	500	31.57705994
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	4236.571045	52	81.47252009
resnet50	25	1	4156.684338	500	8.313368675
vgg19	10	4	4375.846329	39	112.2011879
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	9093.761177	108	84.20149238
resnet50	25	4	9010.784075	500	18.02156815
vgg19	10	4	9261.279785	82	112.9424364
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	15281.6207	179	85.37218266
resnet50	25	8	15190.77189	500	30.38154378
vgg19	10	4	15473.99777	136	113.7793954
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	24828.18507	281	88.35653048
resnet50	25	16	24793.33491	500	49.58666982
vgg19	10	4	25132.36899	217	115.8173686
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	4229.74176	52	81.3411877
resnet50	25	1	4116.472832	500	8.232945663
vgg19	10	8	4240.258621	23	184.3590705
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	9091.484695	108	84.18041385
resnet50	25	4	8993.78653	500	17.98757306
vgg19	10	8	9307.39592	50	186.1479184
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	15235.78673	179	85.11612697
resnet50	25	8	15128.00721	500	30.25601442
vgg19	10	8	15537.52673	83	187.1991173
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	24795.86711	281	88.24151997
resnet50	25	16	24733.5176	500	49.4670352
vgg19	10	8	25181.20702	132	190.7667198
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	4325.735657	53	81.6176539
resnet50	25	1	4177.777283	500	8.355554565
vgg19	10	16	4405.962982	20	220.2981491
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	9134.904396	108	84.58244811
resnet50	25	4	9029.543163	500	18.05908633
vgg19	10	16	9360.992615	42	222.8807765
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	15263.91394	178	85.75232551
resnet50	25	8	15208.88336	500	30.41776672
vgg19	10	16	15483.03021	69	224.3917422
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	24883.71287	280	88.8704031
resnet50	25	16	24861.23493	500	49.72246986
vgg19	10	16	25360.61589	111	228.474017
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	4462.368866	33	135.223299
resnet50	25	1	4233.15396	500	8.46630792
vgg19	10	1	4378.026945	142	30.83117567
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9295.313568	68	136.6957878
resnet50	25	4	9110.511606	500	18.22102321
vgg19	10	1	9278.18771	303	30.62108155
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	15430.2506	111	139.0112666
resnet50	25	8	15317.50025	498	30.75803264
vgg19	10	1	15469.44651	500	30.93889303
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	15819.13976	110	143.8103614
resnet50	25	16	15632.29515	312	50.10351011
vgg19	10	1	15808.27081	500	31.61654161
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	4263.82225	32	133.2444453
resnet50	25	1	4156.284155	500	8.31256831
vgg19	10	4	4287.169075	38	112.8202388
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9245.735397	68	135.966697
resnet50	25	4	9056.796341	500	18.11359268
vgg19	10	4	9268.207161	82	113.0269166
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	15424.49535	112	137.7187084
resnet50	25	8	15229.39628	500	30.45879256
vgg19	10	4	15454.47308	136	113.6358315
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	25111.84402	176	142.680932
resnet50	25	16	24897.64832	500	49.79529665
vgg19	10	4	25210.18827	217	116.1759828
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	4378.922455	33	132.6946198
resnet50	25	1	4155.712843	500	8.311425687
vgg19	10	8	4446.5298	24	185.272075
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9252.834564	68	136.0710965
resnet50	25	4	9030.853649	500	18.0617073
vgg19	10	8	9325.784271	50	186.5156854
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	15420.79691	112	137.6856867
resnet50	25	8	15197.62207	500	30.39524414
vgg19	10	8	15559.81749	83	187.4676806
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	25097.79987	176	142.6011356
resnet50	25	16	24880.53553	500	49.76107105
vgg19	10	8	25235.76231	132	191.1800175
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	4270.581802	32	133.4556813
resnet50	25	1	4133.050111	500	8.266100222
vgg19	10	16	4440.225128	20	222.0112564
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9285.413513	68	136.5501987
resnet50	25	4	9065.940744	500	18.13188149
vgg19	10	16	9366.07843	42	223.0018674
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	15369.72305	111	138.4659735
resnet50	25	8	15251.70064	500	30.50340127
vgg19	10	16	15500.38533	69	224.6432657
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	25075.76045	175	143.2900597
resnet50	25	16	24962.28016	500	49.92456032
vgg19	10	16	25410.58089	111	228.9241521
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	4374.102158	21	208.2905789
resnet50	25	1	4211.943359	500	8.423886719
vgg19	10	1	4354.495392	142	30.66546051
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9367.193283	44	212.8907564
resnet50	25	4	9200.654161	500	18.40130832
vgg19	10	1	9396.953009	304	30.91102963
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	15696.62886	73	215.0223132
resnet50	25	8	15371.02971	497	30.92762516
vgg19	10	1	15537.61148	500	31.07522296
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	15999.96002	72	222.221667
resnet50	25	16	15696.52068	311	50.47112757
vgg19	10	1	15878.50293	500	31.75700586
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	4349.802139	21	207.1334352
resnet50	25	1	4163.392387	500	8.326784774
vgg19	10	4	4300.483467	38	113.1706176
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9281.945908	44	210.9533161
resnet50	25	4	9131.249071	500	18.26249814
vgg19	10	4	9312.887871	82	113.5718033
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	15593.2495	73	213.6061575
resnet50	25	8	15340.64709	500	30.68129418
vgg19	10	4	15623.09897	137	114.0372187
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	25371.28174	115	220.6198412
resnet50	25	16	25096.05826	500	50.19211652
vgg19	10	4	25378.7984	218	116.4165064
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	4332.024918	21	206.2869008
resnet50	25	1	4135.467561	500	8.270935122
vgg19	10	8	4260.052658	23	185.2196808
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9280.864304	44	210.9287342
resnet50	25	4	9100.290991	500	18.20058198
vgg19	10	8	9352.027298	50	187.040546
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	15593.3979	73	213.6081905
resnet50	25	8	15281.38504	500	30.56277008
vgg19	10	8	15636.56004	83	188.3922897
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	25340.15637	115	220.3491858
resnet50	25	16	25039.00753	500	50.07801506
vgg19	10	8	25498.6443	133	191.7191301
