model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model3 name,gpu3,batch3,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
densenet201,10,8,36795.853118896484,280,131.41376113891602,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,8,36599.50023651123,500,73.19900047302247,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,4,37050.572189331055,339,109.293723272363,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,8,54378.771255493164,411,132.30844587711232,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,16,54330.5007019043,464,117.09159634031099,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,4,54758.19581604004,500,109.51639163208007,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,8,9391.910041809082,72,130.44319502512613,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,1,9262.169969558716,500,18.524339939117432,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,8,9447.74382019043,52,181.68738115750827,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,8,21775.608352661133,166,131.1783635702478,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,4,21608.078063964844,500,43.216156127929686,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,8,22005.78288269043,121,181.86597423711098,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,8,36800.49392700195,280,131.4303354535784,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,8,36572.2135925293,500,73.14442718505859,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,8,37099.39401245117,204,181.85977457083908,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,8,58606.35014343262,443,132.2942441161007,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,16,58566.78917694092,500,117.13357835388183,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,8,59117.38360595703,324,182.46106051221307,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,8,9437.632705688477,72,131.07823202345105,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,1,9314.1240940094,500,18.628248188018798,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,16,9588.58334350586,44,217.92234871604225,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,8,21843.177368164062,166,131.58540583231363,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,4,21676.799732208252,500,43.353599464416504,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,16,22028.293075561523,101,218.101911639223,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,8,36820.480712890625,279,131.9730491501456,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,8,36698.05472564697,500,73.39610945129394,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,16,37109.837341308594,170,218.29316083122703,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,8,58852.335357666016,443,132.84951548005873,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113,,resnet50,10,16,58722.00419616699,500,117.44400839233398,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,16,59344.135314941406,271,218.98204913262512,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,16,9640.933639526367,47,205.12624764949717,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,1,9438.630186080933,500,18.877260372161864,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,1,9640.211427688599,324,29.753738974347527,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,16,14814.22087097168,72,205.75306765238443,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,4,14657.582885742188,335,43.75397876340951,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,1,14837.102647781372,500,29.674205295562743,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,16,14822.303802490234,72,205.86533059014215,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,8,14534.75969696045,197,73.78050607594136,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,1,14814.372486114502,500,29.628744972229004,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,16,14920.40495300293,72,207.22784656948514,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,16,14518.881645202637,123,118.03968817237916,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,1,14891.64228439331,500,29.78328456878662,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,16,9577.780410766602,47,203.7825619312043,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,1,9378.617931365967,500,18.757235862731935,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,4,9660.4584274292,88,109.77793667533182,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,16,22130.47200012207,108,204.91177777890806,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,4,21766.464908599854,500,43.53292981719971,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,4,22152.189933776855,202,109.66430660285572,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,16,37092.59706115723,181,204.93147547600677,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,8,36745.53125,500,73.4910625,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,4,37220.30325317383,340,109.47148015639361,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,16,54634.515365600586,265,206.16798251170033,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,16,54436.81686401367,463,117.5741184967898,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,4,54854.016357421875,500,109.70803271484375,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
densenet201,10,16,9576.728500366211,47,203.76018085885556,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,1,9333.228191375732,500,18.666456382751466,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,8,9654.134826660156,53,182.15348729547463,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,16,21906.582229614258,107,204.73441336088092,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,4,21731.28108215332,500,43.46256216430664,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,8,22066.63542175293,121,182.36888778308207,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,16,37110.33712768555,181,205.0294868932903,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,8,36718.17862701416,500,73.43635725402832,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,8,37190.401794433594,204,182.30589114918428,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
