,data,x
369,-1067.683571,123
370,-1167.898856,123
371,-944.9103322,123
372,-1067.683571,124
373,-1167.898856,124
374,-944.9103322,124
375,-1067.683571,125
376,-1167.898856,125
377,-944.9103322,125
378,-1067.683571,126
379,-1167.898856,126
380,-944.9103322,126
381,-1067.683571,127
382,-1167.898856,127
383,-944.9103322,127
384,-1067.683571,128
385,-1167.898856,128
386,-944.9103322,128
387,-1067.683571,129
388,-1167.898856,129
389,-944.9103322,129
390,-1067.683571,130
391,-1167.898856,130
392,-944.9103322,130
393,-1067.683571,131
394,-1167.898856,131
395,-944.9103322,131
396,-1067.683571,132
397,-1167.898856,132
398,-944.9103322,132
399,-1067.683571,133
400,-1167.898856,133
401,-944.9103322,133
402,-1067.683571,134
403,-1167.898856,134
404,-944.9103322,134
405,-1067.683571,135
406,-1167.898856,135
407,-944.9103322,135
408,-1067.683571,136
409,-1167.898856,136
410,-944.9103322,136
411,-1067.683571,137
412,-1167.898856,137
413,-944.9103322,137
414,-1067.683571,138
415,-1167.898856,138
416,-944.9103322,138
417,-1067.683571,139
418,-1167.898856,139
419,-944.9103322,139
420,-1067.683571,140
421,-1167.898856,140
422,-944.9103322,140
423,-1067.683571,141
424,-1167.898856,141
425,-944.9103322,141
426,-1067.683571,142
427,-1167.898856,142
428,-944.9103322,142
429,-1067.683571,143
430,-1167.898856,143
431,-944.9103322,143
432,-1067.683571,144
433,-1167.898856,144
434,-944.9103322,144
435,-1067.683571,145
436,-1167.898856,145
437,-944.9103322,145
438,-1067.683571,146
439,-1167.898856,146
440,-944.9103322,146
441,-1067.683571,147
442,-1167.898856,147
443,-944.9103322,147
444,-1067.683571,148
445,-1167.898856,148
446,-944.9103322,148
447,-1067.683571,149
448,-1167.898856,149
449,-944.9103322,149
450,-1067.683571,150
451,-1167.898856,150
452,-944.9103322,150
453,-1067.683571,151
454,-1167.898856,151
455,-944.9103322,151
456,-1067.683571,152
457,-1167.898856,152
458,-944.9103322,152
459,-1067.683571,153
460,-1167.898856,153
461,-944.9103322,153
462,-1067.683571,154
463,-1167.898856,154
464,-944.9103322,154
465,-1067.683571,155
466,-1167.898856,155
467,-944.9103322,155
468,-1067.683571,156
469,-1167.898856,156
470,-944.9103322,156
471,-1067.683571,157
472,-1167.898856,157
473,-944.9103322,157
474,-1067.683571,158
475,-1167.898856,158
476,-944.9103322,158
477,-1067.683571,159
478,-1167.898856,159
479,-944.9103322,159
480,-1067.683571,160
481,-1167.898856,160
482,-944.9103322,160
483,-1067.683571,161
484,-1167.898856,161
485,-944.9103322,161
486,-1067.683571,162
487,-1167.898856,162
488,-944.9103322,162
489,-1067.683571,163
490,-1167.898856,163
491,-944.9103322,163
492,-1067.683571,164
493,-1167.898856,164
494,-944.9103322,164
495,-1067.683571,165
496,-1167.898856,165
497,-944.9103322,165
498,-1067.683571,166
499,-1167.898856,166
500,-944.9103322,166
501,-1067.683571,167
502,-1167.898856,167
503,-944.9103322,167
504,-1067.683571,168
505,-1167.898856,168
506,-944.9103322,168
507,-1067.683571,169
508,-1167.898856,169
509,-944.9103322,169
510,-1067.683571,170
511,-1167.898856,170
512,-944.9103322,170
513,-1067.683571,171
514,-1167.898856,171
515,-944.9103322,171
516,-1067.683571,172
517,-1167.898856,172
518,-944.9103322,172
519,-1067.683571,173
